id,_type,applicableUnit,altLabel,inScheme,prefLabel,topConceptOf,dc_type,definition,note,scopeNote,relevantLZS,relevantProperty,maxValue,operatie,minValue,subject,relevantQuantityKind,seeAlso,relevantCodeList,technischefiche,referentiewaardeType,broader,broaderTransitive,narrower,narrowerTransitive,semanticRelation,code,hasTopConcept
http://qudt.org/vocab/quantitykind/Acidity,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/PH,Zuurtegraad,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/quantitykind/Conductivity,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/MilliS-PER-CentiM,Geleidbaarheid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/quantitykind/Count,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/NUM,Aantal,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/quantitykind/VaporPressure,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/PA,Dampdruk,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/quantitykind/Volume,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/M3,Volume,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/quantitykind/VolumeFlowRate,http://qudt.org/schema/qudt/QuantityKind,http://qudt.org/vocab/unit/M3-PER-HR,Volume per tijdseenheid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/hetelektronischmonitoringssysteem,http://www.w3.org/2000/01/rdf-schema#Resource|http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,Het elektronisch monitoringssysteem,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/lucht,http://www.w3.org/2000/01/rdf-schema#Resource|http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,Lucht,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/spuiwater,http://www.w3.org/2000/01/rdf-schema#Resource|http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,Spuiwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/stal,http://www.w3.org/2000/01/rdf-schema#Resource|http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,Stal,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/medium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
