uri,type,topConceptOf,inScheme,prefLabel,notation,definition,broader,relevantDataType,relevantCodeList,relevantSystem,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty
conceptscheme:lzsp,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,
conceptscheme:lzsm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,
conceptscheme:lzs,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,
conceptscheme:lzss,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,
conceptscheme:lzsst,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lzsp:drukvaloverhetsysteem,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Drukval over het systeem,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s1|lzs:s2|lzs:s3,quantitykind:VaporPressure|quantitykind:Fugacity,http://qudt.org/vocab/unit/PA,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0329,lzsm:lucht,
lzsp:geleidbaarheidvanhetwaswater,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Geleidbaarheid van het waswater,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s1|lzs:s2,http://qudt.org/vocab/quantitykind/Conductivity,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0010,lzsm:waswater,procedure:WAC_I_A_011
lzsp:spuiwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Spuiwaterproductie,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s1|lzs:s2,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzsm:spuiwater,
lzsp:biobedspuiwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Biobedspuiwaterproductie,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s3,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzsm:spuiwater,
lzsp:biobedspoelwaterproductie,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Biobedspoelwaterproductie,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s3,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,
lzsp:stalbezetting,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Stalbezetting,,,,,conceptscheme:lzsst,lzs:s1|lzs:s2|lzs:s3,,,,,lzsm:stal,
lzsp:systeemstatus,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,SysteemStatus,,,,,conceptscheme:lzss,lzs:s1|lzs:s2|lzs:s3,,,,,lzsm:hetelektronischmonitoringssysteem,
lzsp:waswaterdebiet,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet over het waspakket,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s1|lzs:s2,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,
lzsp:waswaterdebietbevloeiing,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet van de bevloeiing van het vulmateriaal,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s3,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,
lzsp:waswaterdebietvoorbevochtiging,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Waswaterdebiet van de voorbevochtiging van de ingaande stallucht,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s3,quantitykind:VolumeFlowRate|quantitykind:VolumePerTime,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzsm:waswater,
lzsp:zuurtegraadwaswater,ssn:Property,conceptscheme:lzsp,conceptscheme:lzsp,Zuurtegraad van het waswater,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs:s1|lzs:s2,quantitykind:Acidity|quantitykind:Basicity,http://qudt.org/vocab/unit/PH,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0076,lzsm:waswater,procedure:WAC_I_A_011
,,,,,,,,,,,,,,,,
lzs:luchtzuiveringssysteem,skos:Concept,conceptscheme:lzs,conceptscheme:lzs,Luchtzuiveringssysteem,,,,,,,,,,,,
lzs:luchtwassysteem,skos:Concept,,conceptscheme:lzs,Luchtwassysteem ,,,lzs:luchtzuiveringssysteem,,,,,,,,,
lzs:s2,skos:Concept,,conceptscheme:lzs,Chemisch luchtwassysteem,S2,,lzs:luchtwassysteem,,,,,,,,,
lzs:s1,skos:Concept,,conceptscheme:lzs,Biologisch luchtwassysteem,S1,,lzs:luchtwassysteem,,,,,,,,,
lzs:s3,skos:Concept,,conceptscheme:lzs,Biobed,S3,,lzs:luchtzuiveringssysteem,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lzss:operationeel,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Operationeel,,,,,,,,,,,,
lzss:storing,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Storing,,,,,,,,,,,,
lzss:onderhoud,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,In onderhoud,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lzsst:leeg,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,Lege stal,,,,,,,,,,,,
lzsst:in_gebruik,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,"Stal in gebruik, dieren aanwezig.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lzsm:lucht,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Lucht,,,,,,,,,,,,
lzsm:waswater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Waswater,,,,,,,,,,,,
lzsm:spuiwater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Spuiwater,,,,,,,,,,,,
lzsm:stal,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Stal,,,,,,,,,,,,
lzsm:hetelektronischmonitoringssysteem,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Het elektronisch monitoringssysteem,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
quantitykind:Fugacity,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,
quantitykind:VaporPressure,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,
quantitykind:Conductivity,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,,
quantitykind:Volume,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/M3,,,
quantitykind:VolumeFlowRate,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/M3-PER-HR,,,
quantitykind:Acidity,qudt:QuantityKind,,,,,,,,,,,,http://qudt.org/vocab/unit/PH,,,
